,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
0,21st Century Upper Primary School,"#HIG 201 Mandal, Office Road, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23158816
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"#HIG 201 Mandal, Office Road, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Phone: (040) 23158816
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
1,Aaaradhya Vidya,"Flat No. 204, H.No. 2-22-263/24, Bankers Chambers, A.S. Raju Nagar, Beside South Indian Shopping Mall, KPHB Main Road, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9948666622
Details:
Play - Class V
Private School
Co-Educational School",Play - Class V,Private School,Co-Educational School,,,"Flat No. 204, H.No. 2-22-263/24, Bankers Chambers, A.S. Raju Nagar, Beside South Indian Shopping Mall, KPHB Main Road, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9948666622
","Play - Class V
Private School
Co-Educational School",Play - Class V,Private School,,Co-Educational School,
2,Aakansha Centre for SCR Employees Mentally Handicapped Children,"Road No. 113/92, Mettuguda
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27822209, 27789426
Details:
Private School (School for Gifted Children)
Co-Educational School",Private School (School for Gifted Children),Co-Educational School,,,,"Road No. 113/92, Mettuguda
Secunderabad - 500017, Andhra Pradesh, India
Phone: (040) 27822209, 27789426
","Private School (School for Gifted Children)
Co-Educational School",,Private School (School for Gifted Children),,Co-Educational School,
3,Aakruthi High School,"Durganagar Colony, Karmanghat
Hyderabad - 500059, Andhra Pradesh, India
Phone: (040) 24098950
Mobile : 8885522028
Details:
Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"Durganagar Colony, Karmanghat
Hyderabad - 500059, Andhra Pradesh, India
Phone: (040) 24098950
Mobile : 8885522028
","Class V - Class X
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Class V - Class X,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
4,Aangan Play School,"Plot No. 86, Adarsh Nagar Colony, Road #3, Bandlaguda
Hyderabad - 500086, Andhra Pradesh, India
Mobile : 9440338025, 9652628025
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Plot No. 86, Adarsh Nagar Colony, Road #3, Bandlaguda
Hyderabad - 500086, Andhra Pradesh, India
Mobile : 9440338025, 9652628025
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
5,Aarambh - The Primary School,"Vivek Nagar, Chikkadpally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 65222855
Mobile : 9849386227
Details:
Play - Class V
Private School
Co-Educational School",Play - Class V,Private School,Co-Educational School,,,"Vivek Nagar, Chikkadpally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 65222855
Mobile : 9849386227
","Play - Class V
Private School
Co-Educational School",Play - Class V,Private School,,Co-Educational School,
6,Aarambh The Pre School,"Near Thyagaraya Gana Sabha, #1-1-336/29 Vivek Nagar, Chikkadapally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 65222855
Mobile : 9849386227
Details:
Play - Kindergarten
Private School
Co-Educational School
Established in 2006",Play - Kindergarten,Private School,Co-Educational School,Established in 2006,,"Near Thyagaraya Gana Sabha, #1-1-336/29 Vivek Nagar, Chikkadapally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 65222855
Mobile : 9849386227
","Play - Kindergarten
Private School
Co-Educational School
Established in 2006",Play - Kindergarten,Private School,,Co-Educational School,Established in 2006
7,Aasha Rotary Centre for the Disabled,"1-8-526, Jatlear Bhavan, 4th Floor, Chikkadpally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 27645677
Fax : (040) 66629561
Details:
Private School (School for Gifted Children)
Co-Educational School",Private School (School for Gifted Children),Co-Educational School,,,,"1-8-526, Jatlear Bhavan, 4th Floor, Chikkadpally
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 27645677
Fax : (040) 66629561
","Private School (School for Gifted Children)
Co-Educational School",,Private School (School for Gifted Children),,Co-Educational School,
8,Aaverbhav - The School,"Plot No. 87, Veerabhadra Nilayam, Kalyan Nagar
Hyderabad - 500018, Andhra Pradesh, India
Phone: (040) 65132827
Details:
Private School
Co-Educational School",Private School,Co-Educational School,,,,"Plot No. 87, Veerabhadra Nilayam, Kalyan Nagar
Hyderabad - 500018, Andhra Pradesh, India
Phone: (040) 65132827
","Private School
Co-Educational School",,Private School,,Co-Educational School,
9,Abacus An Alphabets Preschool,"New Alwal, Behind Satya Petrol Substation, Alwal
Hyderabad - 500010, Andhra Pradesh, India
Phone: (040) 65177550
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"New Alwal, Behind Satya Petrol Substation, Alwal
Hyderabad - 500010, Andhra Pradesh, India
Phone: (040) 65177550
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
10,ABC Play School,"Villa 2, Beside SBI Bank, Near Aditya Imperial Heights, Hafeezpet
Hyderabad - 500001, Andhra Pradesh, India
Mobile : 9133515253, 9133808182
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Villa 2, Beside SBI Bank, Near Aditya Imperial Heights, Hafeezpet
Hyderabad - 500001, Andhra Pradesh, India
Mobile : 9133515253, 9133808182
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
11,ABCD Smartkids Play School,"Opp. Bundi Anjaneyalu Gardens, Peerzadiguda
Hyderabad - 500039, Andhra Pradesh, India
Mobile : 9849204264, 9866800380
Details:
Play - Play
Private School
Co-Educational School",Play - Play,Private School,Co-Educational School,,,"Opp. Bundi Anjaneyalu Gardens, Peerzadiguda
Hyderabad - 500039, Andhra Pradesh, India
Mobile : 9849204264, 9866800380
","Play - Play
Private School
Co-Educational School",Play - Play,Private School,,Co-Educational School,
12,Abhaya a Waldorf School,"Gundla Pochampally, Kompally
Hyderabad - 500100, Andhra Pradesh, India
Phone: (040) 23792234
Mobile : 8008222056
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,CBSE Board,Private School,Co-Educational School,,"Gundla Pochampally, Kompally
Hyderabad - 500100, Andhra Pradesh, India
Phone: (040) 23792234
Mobile : 8008222056
","Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,Private School,CBSE Board,Co-Educational School,
13,Abhaya High School,"160, Patny Nagar, S.P. Road
Secunderabad - 500003, Andhra Pradesh, India
Phone: (040) 26221345, 27901797
Details:
Class V - Class X
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class X,ICSE/ISC Board,Private School,Co-Educational School,,"160, Patny Nagar, S.P. Road
Secunderabad - 500003, Andhra Pradesh, India
Phone: (040) 26221345, 27901797
","Class V - Class X
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class X,Private School,ICSE/ISC Board,Co-Educational School,
14,Abhaya School,"Near Apparel Textile Park, Gundla Pochampally
Rangareddi - 500014, Andhra Pradesh, India
Mobile : 8008222356, 8008222056
Details:
High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,CBSE Board,Private School,Co-Educational School,,"Near Apparel Textile Park, Gundla Pochampally
Rangareddi - 500014, Andhra Pradesh, India
Mobile : 8008222356, 8008222056
","High Secondary School
CBSE Board
Private School
Co-Educational School",High Secondary School,Private School,CBSE Board,Co-Educational School,
15,Abhi Convent School,"New #615, 6th Floor, Manasarovar, Hasmatpet, TIE Balanagar Township
Hyderabad, Andhra Pradesh, India
Phone: (040) 27797956
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"New #615, 6th Floor, Manasarovar, Hasmatpet, TIE Balanagar Township
Hyderabad, Andhra Pradesh, India
Phone: (040) 27797956
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
16,Abhignaa Play School,"1-1-230/13/2, Chikkadpally Road, Chikkadpally, Himayatnagar
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 27630482
Details:
Play School
Private School
Co-Educational School",Play School,Private School,Co-Educational School,,,"1-1-230/13/2, Chikkadpally Road, Chikkadpally, Himayatnagar
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 27630482
","Play School
Private School
Co-Educational School",Play School,Private School,,Co-Educational School,
17,Abhignan School,"1-1-230/16, Chikkadpally Main Road, Chikkadapalli Market, (Near Arora College)
Hyderabad, Andhra Pradesh, India
Phone: (040) 27620482
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"1-1-230/16, Chikkadpally Main Road, Chikkadapalli Market, (Near Arora College)
Hyderabad, Andhra Pradesh, India
Phone: (040) 27620482
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
18,Abhyasa Pre Primary,"Beside Hayat Nagar Bus Stand, Hayat Nagar
Hyderabad - 500036, Andhra Pradesh, India
Mobile : 9177000999
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Beside Hayat Nagar Bus Stand, Hayat Nagar
Hyderabad - 500036, Andhra Pradesh, India
Mobile : 9177000999
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
19,Abhyasa Preschool - Hasmathpet,"Sagar Enclave, Hasmathpet
Hyderabad - 500009, Andhra Pradesh, India
Mobile : 9908322270
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Sagar Enclave, Hasmathpet
Hyderabad - 500009, Andhra Pradesh, India
Mobile : 9908322270
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
20,Abhyasa Preschool - Khairatabad,"Anand Nagar, Khairtabad
Hyderabad - 500004, Andhra Pradesh, India
Phone: (040) 23319820, 23319821
Mobile : 8790712757
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Anand Nagar, Khairtabad
Hyderabad - 500004, Andhra Pradesh, India
Phone: (040) 23319820, 23319821
Mobile : 8790712757
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
21,Abhyasa Preschool - Sainikpuri,"Crescent Road, Sainikpuri
Hyderabad - 500041, Andhra Pradesh, India
Phone: (040) 64523828
Mobile : 8885523828
Details:
Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,Co-Educational School,,,"Crescent Road, Sainikpuri
Hyderabad - 500041, Andhra Pradesh, India
Phone: (040) 64523828
Mobile : 8885523828
","Play - Nursery
Private School
Co-Educational School",Play - Nursery,Private School,,Co-Educational School,
22,Abhyasa Residential Public School,"Toopran
Medak - 502334, Andhra Pradesh, India
Mobile : 9100090333, 9100093333 - Relationship Manager
Details:
Class V - Class XII
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class XII,ICSE/ISC Board,Private School,Co-Educational School,,"Toopran
Medak - 502334, Andhra Pradesh, India
Mobile : 9100090333, 9100093333 - Relationship Manager
","Class V - Class XII
ICSE/ISC Board
Private School
Co-Educational School",Class V - Class XII,Private School,ICSE/ISC Board,Co-Educational School,
